channel_index,graspnet_ref,ln_affine,ln_affine_adapter,ln_adapter
0,0.0,0.04784728214144707,0.007557383738458157,0.007557383738458157
1,0.4585363566875458,0.02554195746779442,0.010715648531913757,0.010715648531913757
2,0.002222484676167369,0.048905063420534134,0.017628222703933716,0.017628222703933716
3,0.7142454981803894,0.06308209896087646,0.008467093110084534,0.008467093110084534
4,0.7353256344795227,0.05454135686159134,0.005172010511159897,0.005172010511159897
5,0.3642827570438385,0.039217494428157806,0.007720549590885639,0.007720549590885639
6,0.039395056664943695,0.07014530152082443,0.011605806648731232,0.011605806648731232
7,0.577200174331665,0.039642203599214554,0.013509544543921947,0.013509544543921947
8,0.24127328395843506,0.029914388433098793,0.003542985999956727,0.003542985999956727
9,0.5094301104545593,0.05167784541845322,0.01566057838499546,0.01566057838499546
10,0.2030419409275055,0.04697387292981148,0.01122129987925291,0.01122129987925291
11,1.285150170326233,0.024605924263596535,0.018611980602145195,0.018611980602145195
12,0.4734978675842285,0.05471228435635567,0.01045022439211607,0.01045022439211607
13,0.06336438655853271,0.04570595920085907,0.015281031839549541,0.015281031839549541
14,0.3159973919391632,0.015710044652223587,0.004467326682060957,0.004467326682060957
15,0.23769806325435638,0.023069534450769424,0.018693016842007637,0.018693016842007637
16,0.00437930878251791,0.025711478665471077,0.022243740037083626,0.022243740037083626
17,0.08114518970251083,0.08552195876836777,0.01430586352944374,0.01430586352944374
18,0.4087221026420593,0.03767874091863632,0.01259587425738573,0.01259587425738573
19,0.5393902063369751,0.03263482078909874,0.014801657758653164,0.014801657758653164
20,0.25238507986068726,0.03357535973191261,0.020387908443808556,0.020387908443808556
21,0.1823025643825531,0.02361990138888359,0.009429982863366604,0.009429982863366604
22,0.19847549498081207,0.07480326294898987,0.01871558278799057,0.01871558278799057
23,0.008681404404342175,0.0701228529214859,0.02260495163500309,0.02260495163500309
24,0.3687245547771454,0.0481281541287899,0.009713568724691868,0.009713568724691868
25,0.2794051170349121,0.06206298619508743,0.01388215459883213,0.01388215459883213
26,0.39221686124801636,0.024404654279351234,0.00816427730023861,0.00816427730023861
27,0.3602916896343231,0.05043166130781174,0.02323276549577713,0.02323276549577713
28,0.08081763982772827,0.008849410340189934,0.005961139686405659,0.005961139686405659
29,0.7114940881729126,0.04726694896817207,0.01571083255112171,0.01571083255112171
30,0.06005026027560234,0.013991241343319416,0.014000069350004196,0.014000069350004196
31,0.009269039146602154,0.037942446768283844,0.005055400542914867,0.005055400542914867
32,0.004944079089909792,0.04401346296072006,0.010541679337620735,0.010541679337620735
33,0.7667925953865051,0.04866790398955345,0.011046675965189934,0.011046675965189934
34,0.5191161036491394,0.03904382511973381,0.016109172254800797,0.016109172254800797
35,0.004389594774693251,0.027875518426299095,0.013980157673358917,0.013980157673358917
36,0.14492501318454742,0.028110073879361153,0.02065475657582283,0.02065475657582283
37,0.13891582190990448,0.03303156793117523,0.011842800304293633,0.011842800304293633
38,0.9432896971702576,0.029437977820634842,0.010581644251942635,0.010581644251942635
39,0.795652449131012,0.03804871812462807,0.011122098192572594,0.011122098192572594
40,0.14834900200366974,0.08185501396656036,0.013814733363687992,0.013814733363687992
41,0.3760657012462616,0.08756425231695175,0.011768451891839504,0.011768451891839504
